[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,213,0.053140097,122.3943662,91,1,55.54434939,0.75,171501
2,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,32,0.576142132,394.40625,400,1,5.471983458,0.75,565027
3,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,134,0.429012346,303.4925373,288,1,19.53442621,0.75,478947
4,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,14,0.582750583,407.5714286,410.5,1,3.306532934,0.75,566783
5,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,150,0.338461538,309.9333333,293.5,1,16.74526239,0.75,419757
6,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,9,0.612903226,424.2222222,433,1,1.117797276,0.75,603327
7,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,185,0.076502732,152.3945946,130,1,37.96844537,0.75,193709
8,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,4,0.637717122,426.5,424,1,1.84056272,0.75,613823
9,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,96,0.472140762,358.6145833,361,1,10.6449641,0.75,520547
10,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,0,90,189,0.239631336,256.3703704,238,1,30.70205082,0.75,343198
