[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,0,0.7,0,0,0,0,0.1,676827
2,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,192,0.321766562,261.6302083,241,1,29.11636705,0.1,424386
3,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,0,0.597633136,0,0,0,0,0.1,518237
4,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,159,0.31120332,290.6603774,275,1,22.42831729,0.1,382526
5,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,6,0.616751269,430.1666667,435,1,1.090197598,0.1,547991
6,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,214,0.051282051,139.6869159,116.5,1,41.52989685,0.1,187836
7,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,145,0.246753247,303.662069,292,1,19.72295782,0.1,353552
8,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,152,0.31986532,304.1184211,294,1,23.02806052,0.1,396985
9,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,256,0.005076142,22.43307087,9,0.99609375,128.8439325,0.1,51295
10,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,115,0.466876972,351.9043478,360,1,10.87955,0.1,494168
11,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,226,0,28.92920354,16,1,97.79842425,0.1,54499
12,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,44,0.544235925,390.0909091,390,1,5.184816246,0.1,512975
13,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,149,0.316151203,278.6174497,256,1,26.76340381,0.1,405220
14,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,11,0.596153846,414.4545455,432,1,2.530730423,0.1,552804
15,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,0,0.673854447,0,0,0,0,0.1,575626
16,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,241,0.027906977,58.78333333,32,0.995850622,95.21133918,0.1,96098
17,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,225,0.046153846,97.45777778,69,1,61.93688801,0.1,140077
18,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,52,0.574074074,397.7692308,415.5,1,7.26883335,0.1,549189
19,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,114,0.489932886,343.6403509,339.5,1,12.79002999,0.1,474996
20,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,231,0.227424749,243.6450216,224,1,32.49675856,0.1,385011
21,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,217,0.043956044,81.79723502,60,1,56.28569536,0.1,121564
22,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,194,0.264822134,251.6134021,229,1,32.08458642,0.1,349761
23,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,203,0.155080214,235.6847291,217,1,36.3628037,0.1,297006
24,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,117,0.324200913,297.2564103,286,1,15.27754263,0.1,344887
25,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.11,0,0,90,187,0.260162602,263.2513369,243,1,26.8116803,0.1,358137
26,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,1,0.683060109,0,0,0,0,0.1,615409
27,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,218,0.025906736,71.17889908,48,1,77.53191074,0.1,105936
28,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,97,0.297297297,353.6701031,353,1,10.67601088,0.1,342841
29,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,254,0.016877637,31.43307087,17,1,76.13596561,0.1,70567
30,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,41,0.637209302,374,367,1,7.098663102,0.1,596977
31,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,183,0.013333333,52.57923497,38,1,63.94667098,0.1,75714
32,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,57,0.481108312,366.9824561,368,1,10.08490125,0.1,501468
33,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,126,0.368,315.8492063,305.5,1,15.7092213,0.1,387542
34,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,12,0.621848739,399.0833333,406.5,1,5.789840354,0.1,500713
35,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,268,0.094527363,148.4365672,119,1,54.39774102,0.1,214876
36,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,8,0.601851852,402.75,423.5,1,5.057196063,0.1,591827
37,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,2,0.607476636,421,421,1,5.173396675,0.1,456627
38,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,171,0.180487805,275.0584795,253,1,21.90561797,0.1,325565
39,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,195,0.095890411,168.1487179,138,1,49.11302508,0.1,209205
40,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,0,0.654292343,0,0,0,0,0.1,634454
41,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,224,0,26.47982063,13,1,133.5274245,0.1,54099
42,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,227,0.127659574,167.3348018,143,1,35.4311285,0.1,238661
43,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,24,0.618798956,401.25,396.5,1,3.922578897,0.1,576885
44,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,126,0.44966443,324.7301587,325,1,16.02992042,0.1,460493
45,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,6,0.644391408,415.1666667,416.5,1,2.068968286,0.1,599376
46,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,0,0.706395349,0,0,0,0,0.1,623440
47,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,8,0.62915601,426.75,433,1,2.695957821,0.1,584363
48,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,92,0.475728155,333.7282609,328,1,16.15403263,0.1,445178
49,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,54,0.538028169,374.7592593,388.5,1,9.986177942,0.1,480227
50,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.223,0,0,90,193,0.234615385,259.0984456,244,1,30.41912325,0.1,357067
51,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,123,0.379432624,319.398374,311,1,14.92641019,0.1,420451
52,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,88,0.50656168,337.1022727,336,1,13.4704534,0.1,527684
53,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,52,0.591549296,390.7884615,402,1,8.73350856,0.1,524331
54,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,113,0.429447853,323.5752212,323,1,18.53978298,0.1,461918
55,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,93,0.519021739,348.6451613,360,1,9.289477601,0.1,519996
56,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,254,0.141700405,162.0551181,123,1,58.73513331,0.1,260513
57,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,168,0.114285714,215.0119048,188.5,1,45.96609361,0.1,244868
58,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,67,0.518644068,374.9104478,383,1,8.031472011,0.1,458130
59,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,184,0.134615385,195.1521739,171.5,1,43.03279723,0.1,245314
60,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,81,0.450617284,360.0740741,364,1,8.417349825,0.1,447951
61,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,203,0.227642276,233.7536946,211,1,31.52700071,0.1,329991
62,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,0,0.777777778,0,0,0,0,0.1,886152
63,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,123,0.418518519,346.5365854,343,1,8.176663344,0.1,446415
64,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,244,0.072727273,92.74590164,69.5,1,57.68352436,0.1,147893
65,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,0,0.636761488,0,0,0,0,0.1,666219
66,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,0,0.663663664,0,0,0,0,0.1,584174
67,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,61,0.533692722,363.2786885,362,1,9.519241877,0.1,509552
68,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,7,0.61852861,420.4285714,421,1,0.342394382,0.1,526159
69,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,3,0.663157895,409.3333333,408,1,5.868892508,0.1,574386
70,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,23,0.602771363,413.3913043,433,1,4.710865491,0.1,587980
71,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,223,0.130268199,183.0986547,140,1,56.91904755,0.1,263486
72,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,208,0.156,201.1730769,178,1,39.76295299,0.1,270779
73,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,222,0.045,77.02252252,60.5,1,51.87569356,0.1,115020
74,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,21,0.556666667,403.0952381,401,1,4.912215003,0.1,447440
75,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.357,0,0,90,83,0.462897527,338.0481928,342,1,14.4970601,0.1,421817
76,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.511,0,0,90,234,0.123404255,156.4615385,129,1,44.9527897,0.1,222466
77,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.511,0,0,90,28,0.579945799,400.9285714,413.5,1,5.92641421,0.1,521885
78,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,-0.511,0,0,90,0,0.736596737,0,0,0,0,0.1,749419
