[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,117,0.523648649,352.2393162,349,1,9.470327106,0.1,511539
2,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,235,0.011494253,28.66523605,13,1,121.3833464,0.1,60590
3,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,257,0,14.1965812,4,0.595330739,193.1490274,0.1,29844
4,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,147,0.348739496,294.8231293,280,1,19.47639524,0.1,373154
5,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,19,0.593533487,417.3157895,428,1,2.989490058,0.1,572300
6,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,0,0.655882353,0,0,0,0,0.1,559965
7,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,133,0.381381381,297.1052632,290,1,25.16638216,0.1,469035
8,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,73,0.498583569,376.4657534,392,1,8.387296938,0.1,551270
9,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,268,0.033333333,53.19776119,32,1,83.65256702,0.1,95304
10,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,255,0,17.80672269,4,0.6,157.112893,0.1,23046
11,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,82,0.462365591,360.0609756,356,1,10.14611054,0.1,491955
12,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,250,0.136792453,164.936,128.5,1,61.11936167,0.1,258688
13,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,168,0.244239631,295.3809524,286.5,1,22.8489595,0.1,349806
14,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,44,0.537859008,393.8636364,403,1,4.825255304,0.1,514073
15,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,38,0.56,395,405,1,6.535066712,0.1,601419
16,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,35,0.615550756,402.6571429,413,1,4.928575304,0.1,642492
17,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,80,0.520231214,347.475,344.5,1,12.19269759,0.1,526585
18,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,186,0.281355932,249.6505376,230.5,1,27.76889858,0.1,393998
19,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,142,0.359621451,314.4929577,314.5,1,19.7979716,0.1,443260
20,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,105,0.434027778,348.2761905,352,1,11.22282903,0.1,437640
21,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,107,0.455752212,340.0093458,335,1,13.02308794,0.1,390591
22,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,192,0.250922509,251.5677083,231,1,28.63803076,0.1,358600
23,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,0,0.669565217,0,0,0,0,0.1,680892
24,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,198,0.207373272,234.3282828,216.5,1,36.70393412,0.1,317556
25,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.095,90,0,0.72606383,0,0,0,0,0.1,652429
26,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,2,0.645083933,416.5,416.5,1,3.37214886,0.1,605225
27,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,5,0.646788991,391.4,390,1,4.630301482,0.1,601329
28,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,0,0.713942308,0,0,0,0,0.1,758059
29,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,0,0.636619718,0,0,0,0,0.1,577332
30,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,0,0.76300578,0,0,0,0,0.1,775859
31,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,1,0.651162791,0,0,0,0,0.1,626123
32,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,37,0.552356021,398.6486486,406,1,5.594625235,0.1,541358
33,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,111,0.421052632,356.8558559,364,1,11.8853615,0.1,469483
34,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,195,0.306122449,274.2564103,267,1,27.75732618,0.1,430940
35,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,139,0.442724458,341.1294964,333,1,12.58486912,0.1,487252
36,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,0,0.637387387,0,0,0,0,0.1,639712
37,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,154,0.384083045,324.8311688,324,1,16.0888729,0.1,462358
38,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,181,0.148514851,218.961326,198,1,28.81220955,0.1,283003
39,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,259,0.011235955,61.49034749,40,1,71.28040832,0.1,104222
40,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,0,0.620396601,0,0,0,0,0.1,548172
41,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,7,0.672768879,377,385,1,7.879752431,0.1,628588
42,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,153,0.332061069,305.9934641,299,1,17.6462531,0.1,414771
43,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,214,0.107758621,171.1214953,145,1,37.84678426,0.1,235170
44,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,97,0.450657895,378.5154639,387,1,8.787846239,0.1,467881
45,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,0,0.683046683,0,0,0,0,0.1,673747
46,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,234,0,11.03448276,4,0.179487179,37.35357143,0.1,26214
47,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,5,0.641791045,432.8,435,1,1.019408503,0.1,585208
48,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,19,0.540983607,401.6842105,414,1,7.555424528,0.1,483778
49,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,97,0.524916944,365.1237113,367,1,8.685940603,0.1,506967
50,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.182,90,54,0.579387187,380.3518519,387.5,1,7.086403501,0.1,532315
51,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,205,0.21641791,249.2585366,224,1,33.7541746,0.1,341846
52,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,11,0.616216216,412.8181818,416,1,1.498392425,0.1,522318
53,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,0,0.685636856,0,0,0,0,0.1,559091
54,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,181,0.123762376,173.5303867,152,1,31.92623947,0.1,229613
55,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,133,0.420560748,325.556391,318,1,12.97607965,0.1,465524
56,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,111,0.412556054,367.3873874,369,1,8.995170538,0.1,419921
57,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,218,0.033333333,83.41284404,60.5,1,63.4037357,0.1,114321
58,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,1,0.678217822,0,0,0,0,0.1,627167
59,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,0.262,90,24,0.534946237,403.9166667,407.5,1,4.508230102,0.1,497628
