[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0.095,0,90,4,0.615189873,421,415,1,1.496437055,0.1,568942
2,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,0,0,0.095,0,90,5,0.656441718,441.8,449,1,1.136713445,0.2,496578
3,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,0,0,0.095,0,90,166,0.37704918,289.6686747,277,1,26.87343599,0.3,435753
4,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.4,0,0.1,0,0,0,0.095,0,90,42,0.611260054,402.3571429,411,1,4.585759873,0.4,511820
5,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.5,0,0.1,0,0,0,0.095,0,90,6,0.639484979,385.6666667,372.5,1,7.790838375,0.5,585172
6,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.6,0,0.1,0,0,0,0.095,0,90,233,0.184210526,221.1201717,206,1,30.46842683,0.6,311266
7,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,0,0,0.095,0,90,17,0.592841163,420.3529412,421,1,3.080132242,0.7,532540
8,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.8,0,0.1,0,0,0,0.095,0,90,3,0.611594203,409.3333333,426,1,5.456026059,0.8,462123
9,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.9,0,0.1,0,0,0,0.095,0,90,12,0.628915663,421.1666667,425.5,1,2.023311868,0.9,552588
10,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,1,0,0.1,0,0,0,0.095,0,90,0,0.704918033,0,0,0,0,1,525560
