frogswab_ID,pond,treatment,swab1,year,before.after,infected
1,CA-PIG,sham,0,2019,before,0
2,CA-PIG,sham,0,2019,before,0
3,CA-PIG,sham,0,2019,before,0
4,CA-PIG,sham,0,2019,before,0
5,CA-PIG,sham,0,2019,before,0
6,CA-PIG,sham,0,2019,before,0
7,CA-PIG,sham,0,2019,before,0
8,CA-PIG,sham,0,2019,before,0
9,CA-PIG,sham,143.2,2019,before,1
10,CA-PIG,sham,0,2019,before,0
11,CA-PIG,sham,0,2019,before,0
12,CA-PIG,sham,0,2019,before,0
13,CA-PIG,sham,0,2019,before,0
14,CA-PIG,sham,0,2019,before,0
15,CA-PIG,sham,0,2019,before,0
16,CA-PIG,sham,0,2019,before,0
17,CA-PIG,sham,0,2019,before,0
18,CA-PIG,sham,0.1,2019,before,1
19,CA-PIG,sham,0,2019,before,0
20,CA-PIG,sham,0,2019,before,0
21,CA-PIG,sham,0,2019,before,0
22,CA-PIG,sham,0,2019,before,0
23,CA-PIG,sham,0,2019,before,0
24,CA-PIG,sham,1905.4,2019,before,1
25,CA-PIG,sham,0,2019,before,0
26,CA-PIG,sham,6964.8,2019,before,1
27,CA-PIG,sham,177.2,2019,before,1
28,CA-PIG,sham,324.6,2019,before,1
29,CA-PIG,sham,0,2019,before,0
30,CA-PIG,sham,961,2019,before,1
31,CA-PIG,sham,98.9,2019,before,1
32,CA-PIG,sham,0,2019,before,0
33,CA-PIG,sham,65,2019,before,1
34,CA-PIG,sham,82.8,2019,before,1
35,CA-PIG,sham,51.2,2019,before,1
36,CA-PIG,sham,11.7,2019,before,1
37,CA-PIG,sham,4.9,2019,before,1
38,CA-PIG,sham,5045.9,2019,before,1
39,CA-PIG,sham,138.2,2019,before,1
40,CA-PIG,sham,0,2019,before,0
49,GLORGCP,vaccine,0,2019,before,0
50,GLORGCP,vaccine,0,2019,before,0
51,GLORGCP,vaccine,683.1,2019,before,1
52,GLORGCP,vaccine,0,2019,before,0
53,GLORGCP,vaccine,79056.4,2019,before,1
54,GLORGCP,vaccine,0,2019,before,0
55,GLORGCP,vaccine,0,2019,before,0
56,GLORGCP,vaccine,0,2019,before,0
57,GLORGCP,vaccine,56040.4,2019,before,1
58,GLORGCP,vaccine,0,2019,before,0
60,GLORGCP,vaccine,1835.7,2019,before,1
61,GLORGCP,vaccine,0,2019,before,0
62,GLORGCP,vaccine,0,2019,before,0
63,GLORGCP,vaccine,0,2019,before,0
64,GLORGCP,vaccine,2481.7,2019,before,1
65,GLORGCP,vaccine,0,2019,before,0
66,GLORGCP,vaccine,0,2019,before,0
67,GLORGCP,vaccine,101305,2019,before,1
68,GLORGCP,vaccine,0,2019,before,0
69,GLORGCP,vaccine,7980,2019,before,1
71,GLORGCP,vaccine,0,2019,before,0
72,GLORGCP,vaccine,0,2019,before,0
73,GLORGCP,vaccine,0,2019,before,0
74,GLORGCP,vaccine,0,2019,before,0
75,GLORGCP,vaccine,558,2019,before,1
76,GLORGCP,vaccine,229,2019,before,1
77,GLORGCP,vaccine,0,2019,before,0
78,GLORGCP,vaccine,171,2019,before,1
79,GLORGCP,vaccine,0,2019,before,0
80,GLORGCP,vaccine,0,2019,before,0
121,CA-MANZA,vaccine,14366,2019,before,1
122,CA-MANZA,vaccine,0,2019,before,0
123,CA-MANZA,vaccine,316,2019,before,1
124,CA-MANZA,vaccine,0,2019,before,0
125,CA-MANZA,vaccine,1441,2019,before,1
126,CA-MANZA,vaccine,2395,2019,before,1
127,CA-MANZA,vaccine,0,2019,before,0
128,CA-MANZA,vaccine,1137,2019,before,1
129,CA-MANZA,vaccine,11060,2019,before,1
131,CA-MANZA,vaccine,0,2019,before,0
132,CA-MANZA,vaccine,0,2019,before,0
133,CA-MANZA,vaccine,0,2019,before,0
134,CA-MANZA,vaccine,0,2019,before,0
135,CA-MANZA,vaccine,0,2019,before,0
136,CA-MANZA,vaccine,0,2019,before,0
137,CA-MANZA,vaccine,0,2019,before,0
138,CA-MANZA,vaccine,0,2019,before,0
139,CA-MANZA,vaccine,0,2019,before,0
140,CA-MANZA,vaccine,0,2019,before,0
141,CA-MANZA,vaccine,0,2019,before,0
142,CA-MANZA,vaccine,0,2019,before,0
143,CA-MANZA,vaccine,0,2019,before,0
144,CA-MANZA,vaccine,0,2019,before,0
145,CA-MANZA,vaccine,0,2019,before,0
146,CA-MANZA,vaccine,0,2019,before,0
147,CA-MANZA,vaccine,0,2019,before,0
148,CA-MANZA,vaccine,0,2019,before,0
149,CA-MANZA,vaccine,0,2019,before,0
150,CA-MANZA,vaccine,0,2019,before,0
151,CA-MANZA,vaccine,0,2019,before,0
152,CA-MANZA,vaccine,0,2019,before,0
153,CA-MANZA,vaccine,0,2019,before,0
154,CA-MANZA,vaccine,0,2019,before,0
155,CA-MANZA,vaccine,0,2019,before,0
156,CA-MANZA,vaccine,0,2019,before,0
157,CA-MANZA,vaccine,1228,2019,before,1
158,CA-MANZA,vaccine,153,2019,before,1
159,CA-MANZA,vaccine,0,2019,before,0
160,CA-MANZA,vaccine,9207,2019,before,1
161,NTALKGCP,sham,0,2019,before,0
162,NTALKGCP,sham,0,2019,before,0
163,NTALKGCP,sham,0,2019,before,0
164,NTALKGCP,sham,0,2019,before,0
165,NTALKGCP,sham,0,2019,before,0
166,NTALKGCP,sham,0,2019,before,0
167,NTALKGCP,sham,0,2019,before,0
168,NTALKGCP,sham,0,2019,before,0
171,NTALKGCP,sham,0,2019,before,0
172,NTALKGCP,sham,0,2019,before,0
173,NTALKGCP,sham,0,2019,before,0
174,NTALKGCP,sham,54.6,2019,before,1
